frame,head_x,head_y,head_z,right_x,right_y,right_z,raw_x,raw_y,raw_z
1770,0.1294280165948629,-0.08299626553366574,1.1136473485901432,0.4626608096655905,-0.35988232866590963,0.2314754436808662,0.5769937634468079,-0.4520551860332489,1.0239732265472412
1771,0.1294280165948629,-0.08299626553366574,1.1136473485901432,0.4626608096655905,-0.35988232866590963,0.2314754436808662,0.5769937634468079,-0.4520551860332489,1.0239732265472412
1772,0.12859294635912388,-0.0828740999953498,1.1137251406436157,0.4633058285149797,-0.36029607616022397,0.23120088881427342,0.5768210291862488,-0.45233336091041565,1.0241121053695679
1773,0.12859294635912388,-0.0828740999953498,1.1137251406436157,0.4631742719334232,-0.36039707444544006,0.23122683561151908,0.5766997337341309,-0.452431321144104,1.0241743326187134
1774,0.12804680268994517,-0.08292979335501484,1.1138484531899397,0.46368054027411804,-0.3605876378465822,0.23156635343750548,0.5766298770904541,-0.45273497700691223,1.0241998434066772
1775,0.12804680268994517,-0.08292979335501484,1.1138484531899397,0.46368054027411804,-0.3605876378465822,0.23156635343750548,0.5766298770904541,-0.45273497700691223,1.0241998434066772
1776,0.12804680268994517,-0.08292979335501484,1.1138484531899397,0.4635205806135226,-0.36100368529863314,0.23132884378773216,0.5764042735099792,-0.45315033197402954,1.024021863937378
1777,0.12804680268994517,-0.08292979335501484,1.1138484531899397,0.4635205806135226,-0.36100368529863314,0.23132884378773216,0.5764042735099792,-0.45315033197402954,1.024021863937378
1778,0.12804680268994517,-0.08292979335501484,1.1138484531899397,0.4633865588762996,-0.36112367339326695,0.23111415202153657,0.5762148499488831,-0.45326998829841614,1.0238537788391113
1779,0.12804680268994517,-0.08292979335501484,1.1138484531899397,0.46344281977097057,-0.3614636803879808,0.23035219369061483,0.5760557651519775,-0.45361995697021484,1.02311110496521
1780,0.12804680268994517,-0.08292979335501484,1.1138484531899397,0.46344281977097057,-0.3614636803879808,0.23035219369061483,0.5760557651519775,-0.45361995697021484,1.02311110496521
1781,0.12804680268994517,-0.08292979335501484,1.1138484531899397,0.46344281977097057,-0.3614636803879808,0.23035219369061483,0.5760557651519775,-0.45361995697021484,1.02311110496521
1782,0.12792153947871057,-0.08317021624897097,1.1145292645819267,0.46462202947946174,-0.3608575414203948,0.22772693384210735,0.5762869119644165,-0.4535950720310211,1.0217149257659912
